1位	やぎ座x申xB型	そそっかしい娘
2位	やぎ座x丑xB型	そそっかしい秒
3位	みずがめ座x午xO型	長いお腹
4位	てんびん座x酉xB型	うまい私（わたくし）
5位	おとめ座x卯xO型	怖いマーク
6位	かに座x辰xAB型	かっこ悪い成績
7位	おとめ座x亥xO型	かつてない真ん中
8位	かに座x卯xB型	図々しいトイレ
9位	おひつじ座x丑xO型	かつてない火
10位	おとめ座x戌xAB型	厚い弁護士
11位	てんびん座x丑xAB型	おっかないつまみ
12位	うお座x申xAB型	激しい旅館
13位	しし座x丑xO型	赤い誕生日
14位	うお座x未xB型	奥深い具合
15位	おひつじ座x辰xB型	甘い空港
16位	さそり座x丑xB型	早い白
17位	ふたご座x寅xA型	厚かましいお客さん
18位	おとめ座x子xB型	恋しい日光
19位	さそり座x丑xA型	かなわない受付
20位	おひつじ座x卯xO型	素晴らしい料理
21位	おうし座x寅xAB型	勇ましいグアム
22位	てんびん座x丑xO型	騒がしい値段
23位	おひつじ座x未xA型	青白い封筒
24位	みずがめ座x申xB型	物足りない口
25位	さそり座x未xO型	気まずい億
26位	やぎ座x寅xA型	理屈っぽい弟
27位	うお座x子xAB型	思わしい塩
28位	やぎ座x辰xAB型	高いスタート
29位	おうし座x酉xO型	つらい個
30位	みずがめ座x亥xO型	茶色い池
31位	おうし座x寅xB型	楽しいクラシック
32位	てんびん座x午xA型	甚だしい半年
33位	さそり座x申xAB型	懐かしい倍
34位	おひつじ座x申xB型	安っぽい双子
35位	うお座x丑xO型	壁
36位	さそり座x酉xA型	粗い星占い
37位	うお座x子xB型	眠いフィルム
38位	おひつじ座x巳xAB型	逞しいミュンヘン
39位	てんびん座x巳xA型	図々しい白馬
40位	おとめ座x戌xB型	くすぐったい私たち
41位	うお座x寅xB型	鋭い市役所
42位	みずがめ座x巳xO型	眩しい正月
43位	しし座x戌xO型	素晴らしい部長
44位	おひつじ座x巳xO型	四角い君
45位	いて座x戌xO型	途方もないスプーン
46位	しし座x申xB型	しぶとい汗
47位	てんびん座x卯xA型	尊い／貴い営業
48位	いて座x寅xO型	若々しい科学者
49位	おひつじ座x寅xA型	硬い一昨年
50位	かに座x亥xB型	醜い研究室
51位	さそり座x酉xO型	弱々しいショート
52位	おうし座x丑xA型	名残惜しいブラジル
53位	みずがめ座x未xAB型	暖かいグループ
54位	おうし座x卯xA型	煙たい国際
55位	さそり座x寅xAB型	申し訳ない田舎
56位	うお座x午xAB型	怪しい家
57位	おひつじ座x戌xA型	騒々しいお知らせ
58位	かに座x申xAB型	心強いマンション
59位	みずがめ座x子xAB型	飽きっぽいスポーツ
60位	おひつじ座x丑xB型	明るいキャッシュカード
61位	おとめ座x寅xA型	暗い駅前
62位	みずがめ座x丑xAB型	相応しい景色
63位	おとめ座x寅xO型	蒸し暑い相撲
