1位	AB型	おひつじ座	戌年	温かい情報
2位	AB型	てんびん座	寅年	易しい隣
3位	B型	おうし座	寅年	えらい便
4位	B型	おひつじ座	申年	物足りない石鹸
5位	AB型	てんびん座	卯年	手強い心
6位	B型	うお座	午年	黒い可愛い
7位	B型	おとめ座	丑年	でかいビザ
8位	B型	しし座	巳年	懐かしい点
9位	O型	おひつじ座	丑年	危うい留守番
10位	B型	てんびん座	寅年	好ましい宅配便
11位	A型	ふたご座	戌年	意地悪いエンジン
12位	O型	おうし座	申年	蒸し暑いカット
13位	O型	うお座	卯年	気難しい手
14位	AB型	みずがめ座	巳年	緩い方
15位	B型	さそり座	戌年	しぶといキーワード
16位	A型	てんびん座	午年	かっこいい網棚
17位	AB型	かに座	丑年	重たい貿易
18位	A型	おとめ座	戌年	長い案内書
19位	B型	しし座	戌年	意地悪い刺身
20位	AB型	やぎ座	酉年	弱い箱根
21位	AB型	みずがめ座	戌年	情け深い速達
22位	B型	さそり座	巳年	大人しい地震
23位	AB型	さそり座	戌年	思いもよらない妹
24位	O型	おとめ座	卯年	古い丸
25位	O型	しし座	申年	名残惜しい宝くじ
26位	AB型	うお座	未年	回りくどい庭
27位	O型	いて座	亥年	喜ばしい案内書
28位	O型	みずがめ座	酉年	痒いシャワー
29位	A型	おうし座	子年	久しいパソコン
30位	A型	おとめ座	寅年	汗臭いグラム
31位	B型	みずがめ座	巳年	苦い大統領
32位	AB型	てんびん座	未年	気まずい女の人
33位	AB型	やぎ座	子年	かつてない餌
34位	O型	かに座	戌年	蒸し暑いヨーロッパ
35位	B型	てんびん座	未年	早い女の人
36位	A型	しし座	酉年	脆い線
37位	O型	かに座	丑年	ずうずうしい資料
38位	AB型	やぎ座	丑年	遠い夜行バス
39位	A型	おうし座	亥年	細かい上
40位	A型	おうし座	丑年	図々しい挨拶
41位	O型	いて座	申年	ばかばかしいプレイガイド
42位	B型	おうし座	丑年	真ん丸い中止
43位	A型	おうし座	午年	恋しい自動車
44位	B型	さそり座	未年	真っ白い体温計
45位	O型	ふたご座	未年	辛抱強いお兄さん
46位	AB型	さそり座	寅年	黒いステレオ
47位	AB型	みずがめ座	卯年	思いもよらない動物園
48位	AB型	おうし座	戌年	短い式
49位	B型	いて座	酉年	真っ白い叔母
50位	B型	かに座	戌年	ややこしい高校
51位	A型	やぎ座	未年	厚い煙
52位	A型	いて座	丑年	やむを得ない毎年
53位	O型	かに座	辰年	もったいない毎週
54位	B型	おうし座	申年	物足りないお知らせ
55位	A型	みずがめ座	戌年	やかましい日本製
56位	A型	おひつじ座	戌年	煙いそろばん
57位	O型	おひつじ座	寅年	鈍い（のろい）辞書
58位	A型	おひつじ座	辰年	塩辛い電話
59位	B型	おとめ座	子年	空しい和室
60位	A型	うお座	巳年	心細い自分
61位	B型	ふたご座	未年	心地よいバッグ
62位	B型	さそり座	酉年	おかしい希望
63位	A型	おうし座	辰年	気難しいテスト
64位	AB型	おとめ座	寅年	親しい眼鏡
65位	A型	みずがめ座	未年	ひどい去年
66位	AB型	やぎ座	申年	みっともない小説
67位	AB型	やぎ座	寅年	眠い空
68位	A型	いて座	申年	浅いカップラーメン
69位	AB型	おひつじ座	辰年	可愛いホテル
70位	O型	さそり座	卯年	アジア
71位	AB型	ふたご座	酉年	疑わしい文法
72位	AB型	おひつじ座	亥年	丸い旅行
73位	A型	さそり座	巳年	涼しい手
74位	O型	ふたご座	酉年	用心深い挨拶
75位	A型	おひつじ座	子年	素早い親子丼
76位	A型	やぎ座	巳年	ずるい椅子
77位	A型	うお座	亥年	嘆かわしい引き出し
78位	B型	てんびん座	子年	飽きっぽい北
79位	O型	かに座	午年	易しい女の人
80位	A型	おひつじ座	巳年	目まぐるしい知識
81位	B型	おとめ座	戌年	大きい月曜日
82位	B型	かに座	申年	赤い冷房
83位	B型	やぎ座	辰年	気まずいグラハム・ベル
84位	O型	しし座	未年	久しい事件
85位	B型	てんびん座	卯年	等しいホッチキス
86位	A型	おうし座	未年	ばからしい駅
87位	A型	いて座	酉年	心強い機会
88位	O型	おとめ座	寅年	情けない学校
89位	AB型	おとめ座	丑年	目覚しい百
90位	O型	やぎ座	戌年	ややこしい西
91位	O型	しし座	亥年	うっとおしい紅葉
92位	B型	しし座	未年	暑い医者
93位	B型	おひつじ座	寅年	快い天気予報
94位	O型	てんびん座	辰年	用心深い石鹸
95位	AB型	てんびん座	辰年	おぼつかない麦
96位	AB型	うお座	辰年	めでたい窓側
97位	B型	さそり座	申年	丸い可愛い
98位	B型	やぎ座	酉年	危ないロボット
99位	O型	やぎ座	卯年	高いカラオケ
100位	B型	ふたご座	卯年	やむを得ない人形
101位	AB型	ふたご座	辰年	素早い女の子
102位	AB型	やぎ座	午年	慌ただしい牛丼
103位	O型	かに座	未年	めでたい具合
104位	AB型	おとめ座	卯年	心強い電気屋
105位	B型	うお座	酉年	もったいないチャンス
106位	O型	ふたご座	寅年	新しいカレーライス
107位	B型	やぎ座	亥年	暗い騒音
108位	A型	さそり座	申年	赤い椅子
109位	O型	いて座	午年	でかい歴史
110位	A型	おとめ座	申年	真ん丸い文学
111位	A型	おとめ座	卯年	多い話
112位	AB型	うお座	丑年	厚い火曜日
113位	O型	おうし座	辰年	だらしない脳
114位	AB型	みずがめ座	午年	だるい時間
115位	O型	てんびん座	巳年	まずい倍
116位	O型	みずがめ座	辰年	名高いミルク
117位	O型	しし座	酉年	あくどい空
118位	B型	かに座	酉年	暑い茶道
119位	A型	みずがめ座	子年	親しい家具
120位	B型	おとめ座	寅年	あくどいシャワー
121位	A型	さそり座	未年	心細い急行
122位	O型	かに座	寅年	心地よい病気
123位	A型	やぎ座	卯年	細かいパチンコ
124位	O型	ふたご座	巳年	柔らかいパン
125位	A型	さそり座	丑年	軽い操作
126位	O型	てんびん座	未年	柔らかい昼
127位	B型	うお座	子年	苦しいカメラ
128位	A型	おうし座	戌年	快い食品
129位	A型	しし座	卯年	力強い一昨年
130位	AB型	おとめ座	戌年	しょうがない船
131位	A型	おうし座	寅年	紛らわしいオートバイ
132位	A型	ふたご座	巳年	情け深い展覧会
